DISTRITO ,ID,AGUA,DESHIDRATACION,PESO_kg,Ind_enfer,VAR_ali
D02,D02-01,10,0,247,1,1
D02,D02-02,10,1,288,3,1
D02,D02-03,10,0,298,3,2
D02,D02-04,5,0,278,2,2
D02,D02-05,5,0,260,2,2
D02,D02-06,5,3,255,3,1
D02,D02-07,6,4,255,2,2
D02,D02-08,5,0,238,2,2
D02,D02-09,10,2,210,2,2
D02,D02-10,1,3,318,2,2
D02,D02-11,1,2,234,1,2
D02,D02-12,20,2,255,2,1
D02,D02-13,10,3,247,1,2
D02,D02-14,5,2,202,3,1
D02,D02-15,5,3,194,3,2
D02,D02-16,3,3,238,3,3
D02,D02-17,5,5,255,3,2
D02,D02-18,7,1,243,1,2
D02,D02-19,4,2,210,3,2
D02,D02-20,20,0,283,2,4
D02,D02-21,5,2,226,3,2
D02,D02-22,5,2,300,2,3
D02,D02-23,10,2,278,1,3
D02,D02-24,5,4,250,3,2
D02,D02-25,5,0,260,1,1
D02,D02-26,5,0,226,2,2
D02,D02-27,5,0,260,4,2
D02,D02-28,5,2,251,3,3
D02,D02-29,5,5,260,3,3
D02,D02-30,4,3,230,2,2
D02,D02-31,5,4,247,3,2
D03,D03-29,10,2,225,2,2
D03,D03-30,12,2,230,2,2
D03,D03-31,5,0,222,3,2
D03,D03-32,13,3,283,3,1
D03,D03-33,10,2,278,3,2
D03,D03-34,10,0,318,3,2
D03,D03-35,10,1,333,3,2
D03,D03-36,5,2,300,2,2
D03,D03-37,1,2,234,4,2
D03,D03-38,10,1,222,3,2
D03,D03-39,15,0,270,2,2
D03,D03-40,12,6,270,3,1
D03,D03-41,10,0,247,3,3
D03,D03-42,5,0,138,3,2
D03,D03-43,10,0,353,1,2
D03,D03-44,5,2,238,3,1
D03,D03-45,5,1,265,4,1
D03,D03-46,5,1,235,2,2
D03,D03-47,10,0,221,2,2
D03,D03-48,5,2,240,2,3
D03,D03-49,5,3,240,3,2
D03,D03-50,5,3,186,3,3
D03,D03-51,5,0,312,3,2
D03,D03-52,3,1,250,3,2
D03,DO3-01,15,0,313,3,3
D03,DO3-02,15,1,158,3,4
D03,DO3-03,5,1,308,2,3
D03,DO3-04,5,7,298,5,3
D03,DO3-05,10,0,234,3,3
D03,DO3-06,10,1,198,2,2
D03,DO3-07,10,0,225,3,2
D03,DO3-08,20,2,288,1,2
D03,DO3-09,5,3,218,3,3
D03,DO3-10,15,1,303,2,2
