esT,No,Edad,gen,cat_gen,Atractivo,Rango_atrac,Alto,ombligo,Phi,Dif
RACR,1,32,FEMENINO,1,10,Alto,168,97,1.731958763,0.113924763
RACR,3,34,FEMENINO,1,10,Alto,169,98,1.724489796,0.106455796
JLEG,11,17,FEMENINO,1,10,Alto,161,94,1.712765957,0.094731957
JLEG,13,62,FEMENINO,1,9,Alto,164,88,1.863636364,0.245602364
JLEG,15,17,FEMENINO,1,10,Alto,153,84,1.821428571,0.203394571
JLEG,16,19,FEMENINO,1,7,Medio,171,114,1.5,0.118034
JLEG,20,20,FEMENINO,1,6,Medio,168,99,1.696969697,0.039086632
RPE,22,18,FEMENINO,1,7,Medio,153,83,1.843373494,0.009338348
RPE,23,18,FEMENINO,1,10,Alto,156,86,1.813953488,0.021703725
RPE,24,21,FEMENINO,1,8,Medio,149,81,1.839506173,0.045117333
RPE,26,16,FEMENINO,1,8,Medio,163,90,1.811111111,0.046605429
RPE,27,17,FEMENINO,1,9,Alto,165,93,1.774193548,0.007414531
LDAB,56,26,FEMENINO,1,10,Alto,189,114,1.657894737,0.039860737
LDAB,59,29,FEMENINO,1,7,Medio,169,108,1.564814815,0.053219185
LDAB,60,37,FEMENINO,1,4,Bajo,177,100,1.77,0.151966
NIDM,64,18,FEMENINO,1,10,Alto,153,84,1.821428571,0.203394571
NIDM,65,21,FEMENINO,1,8,Medio,168,93,1.806451613,0.188417613
NIDM,67,65,FEMENINO,1,9,Alto,155,85,1.823529412,0.205495412
NIDM,68,44,FEMENINO,1,5,Bajo,151,91,1.659340659,0.041306659
NIDM,69,18,FEMENINO,1,10,Alto,170,113,1.504424779,0.113609221
NIDM,70,19,FEMENINO,1,10,Alto,160,98,1.632653061,0.014619061
LDAB,72,68,FEMENINO,1,6,Medio,160,96,1.666666667,0.048632667
LDAB,73,27,FEMENINO,1,8,Medio,155,89,1.741573034,0.123539034
LDAB,74,55,FEMENINO,1,7,Medio,145,88,1.647727273,0.029693273
LDAB,75,34,FEMENINO,1,5,Bajo,165,100,1.65,0.031966
LDAB,76,27,FEMENINO,1,10,Alto,167,98,1.704081633,0.086047633
ENGB,82,15,FEMENINO,1,8,Medio,159,94,1.691489362,0.073455362
ENGB,83,20,FEMENINO,1,10,Alto,163,96,1.697916667,0.079882667
ENGB,85,14,FEMENINO,1,5,Bajo,155,92,1.684782609,0.066748609
ENGB,89,40,FEMENINO,1,10,Alto,181,110,1.645454545,0.027420545
ENGB,90,24,FEMENINO,1,9,Alto,157,93,1.688172043,0.070138043
LBA,102,51,FEMENINO,1,6,Medio,150,95,1.578947368,0.039086632
LBA,105,34,FEMENINO,1,8,Medio,165,100,1.65,0.031966
LBA,107,18,FEMENINO,1,10,Alto,168,103,1.631067961,0.013033961
LBA,108,21,FEMENINO,1,8,Medio,165,100,1.65,0.031966
LBA,109,25,FEMENINO,1,9,Alto,151,96,1.572916667,0.045117333
DJAE,112,14,FEMENINO,1,10,Alto,165,105,1.571428571,0.046605429
DJAE,114,55,FEMENINO,1,7,Medio,160,98,1.632653061,0.014619061
DJAE,116,26,FEMENINO,1,10,Alto,170,108,1.574074074,0.043959926
DJAE,118,40,FEMENINO,1,8,Medio,168,104,1.615384615,0.002649385
DJAE,120,22,FEMENINO,1,7,Medio,162,100,1.62,0.001966
MAVM,122,53,FEMENINO,1,8,Medio,152,90,1.688888889,0.070854889
MAVM,123,56,FEMENINO,1,7,Medio,163,105,1.552380952,0.065653048
MAVM,126,87,FEMENINO,1,6,Medio,145,84,1.726190476,0.108156476
MAVM,128,16,FEMENINO,1,10,Alto,163,100,1.63,0.011966
MAVM,130,15,FEMENINO,1,8,Medio,158,96,1.645833333,0.027799333
MAVM,131,25,FEMENINO,1,7,Medio,160,98,1.632653061,0.014619061
