esT,No,Edad,gen,cat_gen,Atractivo,Rango_atrac,Alto,ombligo,Phi,Dif
RACR,4,62,MASCULINO,0,10,Alto,191,112,1.705357143,0.087323143
RACR,5,66,MASCULINO,0,9,Alto,165,89,1.853932584,0.235898584
RPE,21,17,MASCULINO,0,6,Medio,178,92,1.934782609,0.004826453
RPE,25,22,MASCULINO,0,7,Medio,189,111,1.702702703,0.026729652
RPE,28,17,MASCULINO,0,9,Alto,174,97,1.793814433,0.043959926
RPE,29,19,MASCULINO,0,7,Medio,183,105,1.742857143,0.002649385
RPE,30,18,MASCULINO,0,8,Medio,179,102,1.754901961,0.010891143
LDAB,51,68,MASCULINO,0,6,Medio,175,96,1.822916667,0.204882667
LDAB,52,27,MASCULINO,0,8,Medio,155,89,1.741573034,0.123539034
LDAB,54,34,MASCULINO,0,5,Bajo,165,100,1.65,0.031966
LDAB,55,27,MASCULINO,0,10,Alto,167,98,1.704081633,0.086047633
NIDM,71,18,MASCULINO,0,3,Bajo,208,109,1.908256881,0.290222881
LDAB,77,26,MASCULINO,0,10,Alto,189,114,1.657894737,0.039860737
LDAB,78,34,MASCULINO,0,6,Medio,175,107,1.635514019,0.017480019
LDAB,79,24,MASCULINO,0,8,Medio,170,103,1.650485437,0.032451437
LDAB,80,29,MASCULINO,0,7,Medio,169,108,1.564814815,0.053219185
LDAB,81,37,MASCULINO,0,4,Bajo,177,100,1.77,0.151966
ENGB,84,19,MASCULINO,0,10,Alto,169,101,1.673267327,0.055233327
ENGB,86,32,MASCULINO,0,4,Bajo,168,99,1.696969697,0.078935697
ENGB,87,27,MASCULINO,0,7,Medio,175,105,1.666666667,0.048632667
ENGB,88,23,MASCULINO,0,10,Alto,172,101,1.702970297,0.084936297
LBA,103,58,MASCULINO,0,6,Medio,171,106,1.613207547,0.004826453
LBA,104,38,MASCULINO,0,10,Alto,185,115,1.608695652,0.009338348
LBA,106,32,MASCULINO,0,7,Medio,174,109,1.596330275,0.021703725
LBA,110,21,MASCULINO,0,8,Medio,183,115,1.591304348,0.026729652
LBA,111,23,MASCULINO,0,9,Alto,178,110,1.618181818,0.000147818
DJAE,113,19,MASCULINO,0,8,Medio,178,110,1.618181818,0.000147818
DJAE,115,29,MASCULINO,0,7,Medio,182,113,1.610619469,0.007414531
DJAE,117,32,MASCULINO,0,6,Medio,175,107,1.635514019,0.017480019
DJAE,119,50,MASCULINO,0,8,Medio,180,112,1.607142857,0.010891143
DJAE,121,18,MASCULINO,0,9,Alto,177,109,1.623853211,0.005819211
MAVM,125,62,MASCULINO,0,7,Medio,166,95,1.747368421,0.129334421
MAVM,127,68,MASCULINO,0,6,Medio,167,93,1.795698925,0.177664925
MAVM,129,22,MASCULINO,0,4,Bajo,180,98,1.836734694,0.218700694
