Sitio,COMUNIDAD,FINCAS,OPG,infestacion
Seco,santa barbara,PTF1,100,1
Seco,santa barbara,PTF1,1000,1
Seco,santa barbara,PTF1,300,1
Seco,santa barbara,PTF1,0,0
Seco,santa barbara,PTF1,100,1
Seco,santa barbara,PTF1,0,0
Seco,santa barbara,PTF1,100,1
Seco,santa barbara,PTF1,0,0
Seco,santa barbara,PTF1,300,1
Seco,santa barbara,PTF2,0,0
Seco,santa barbara,PTF2,0,0
Seco,santa barbara,PTF2,0,0
Seco,santa barbara,PTF2,100,1
Seco,santa barbara,PTF2,0,0
Seco,santa barbara,PTF2,100,1
Seco,santa barbara,PTF2,100,1
Seco,santa barbara,PTF2,0,0
Seco,santa barbara,PTF2,0,0
Seco,santa barbara,PTF2,0,0
Seco,santa barbara,PTF3,0,0
Seco,santa barbara,PTF3,100,1
Seco,santa barbara,PTF3,100,1
Seco,santa barbara,PTF3,100,1
Seco,santa barbara,PTF3,0,0
Húmedo,valle san antonio,SNF1,100,1
Húmedo,valle san antonio,SNF1,500,1
Húmedo,valle san antonio,SNF1,600,1
Húmedo,valle san antonio,SNF1,100,1
Húmedo,valle san antonio,SNF1,0,0
Húmedo,valle san antonio,SNF1,0,0
Húmedo,valle san antonio,SNF1,100,1
Húmedo,valle san antonio,SNF1,400,1
Húmedo,valle san antonio,SNF1,0,0
Húmedo,valle san antonio,SNF1,1800,1
Húmedo,valle san antonio,SNF2,300,1
Húmedo,valle san antonio,SNF2,0,0
Húmedo,valle san antonio,SNF2,0,0
Húmedo,valle san antonio,SNF2,100,1
Húmedo,valle san antonio,SNF2,0,0
Húmedo,valle san antonio,SNF2,0,0
Húmedo,valle san antonio,SNF2,0,0
Húmedo,valle san antonio,SNF2,0,0
Húmedo,valle san antonio,SNF2,0,0
Húmedo,valle san antonio,SNF2,0,0
Húmedo,valle san antonio,SNF3,100,1
Húmedo,valle san antonio,SNF3,400,1
Húmedo,valle san antonio,SNF3,100,1
Húmedo,valle san antonio,SNF3,100,1
Húmedo,valle san antonio,SNF3,1600,1
Húmedo,valle san antonio,SNF4,0,0
Húmedo,valle san antonio,SNF4,0,0
Húmedo,valle san antonio,SNF4,0,0
Húmedo,valle san antonio,SNF4,0,0
Húmedo,valle san antonio,SNF4,0,0
Húmedo,valle san antonio,SNF4,0,0
Húmedo,valle san antonio,SNF4,100,1
Húmedo,valle san antonio,SNF4,0,0
Húmedo,valle san antonio,SNF4,0,0
Húmedo,valle san antonio,SNF5,0,0
Húmedo,valle san antonio,SNF5,0,0
Húmedo,valle san antonio,SNF5,0,0
Húmedo,valle san antonio,SNF5,0,0
Húmedo,valle san antonio,SNF5,0,0
Húmedo,valle san antonio,SNF5,100,1
Húmedo,valle san antonio,SNF5,0,0
Húmedo,salales,SAF1,0,0
Húmedo,salales,SAF1,100,1
Húmedo,salales,SAF1,0,0
Húmedo,salales,SAF1,0,0
Húmedo,salales,SAF2,100,1
Húmedo,salales,SAF2,1800,1
Húmedo,salales,SAF2,3000,1
Húmedo,salales,SAF2,200,1
Húmedo,salales,SAF2,1100,1
Húmedo,salales,SAF2,1200,1
Húmedo,salales,SAF2,0,0
Húmedo,salales,SAF2,1900,1
Húmedo,salales,SAF2,100,1
Húmedo,salales,SAF3,0,0
Húmedo,salales,SAF3,0,0
Húmedo,salales,SAF3,800,1
Húmedo,salales,SAF3,0,0
Húmedo,salales,SAF3,0,0
Húmedo,salales,SAF4,100,1
Húmedo,salales,SAF4,400,1
Húmedo,salales,SAF4,0,0
Húmedo,salales,SAF4,200,1
Húmedo,salales,SAF4,0,0
Seco,campamento,CAF1,0,0
Seco,campamento,CAF1,40000,1
Seco,campamento,CAF1,300,1
Seco,campamento,CAF1,100,1
Seco,campamento,CAF1,0,0
Seco,campamento,CAF1,100,1
Seco,campamento,CAF1,0,0
Seco,campamento,CAF1,0,0
Seco,campamento,CAF1,300,1
Seco,campamento,CAF1,200,1
Seco,campamento,CAF2,400,1
Seco,campamento,CAF2,1000,1
Seco,campamento,CAF2,0,0
Seco,campamento,CAF3,700,1
Seco,campamento,CAF3,400,1
Seco,campamento,CAF3,1000,1
Seco,campamento,CAF3,0,0
Húmedo,tololos,TOF1,0,0
Húmedo,tololos,TOF1,0,0
Húmedo,tololos,TOF1,0,0
Húmedo,tololos,TOF1,100,1
Húmedo,tololos,TOF2,0,0
Húmedo,tololos,TOF2,0,0
Húmedo,tololos,TOF3,100,1
Húmedo,tololos,TOF3,0,0
Seco,El salitre,LLF1,0,0
Seco,El salitre,LLF1,0,0
Seco,El salitre,LLF1,100,1
Seco,El salitre,LLF1,0,0
Seco,El salitre,LLF1,0,0
Seco,El salitre,LLF1,200,1
Seco,El salitre,LLF2,100,1
Seco,El salitre,LLF2,900,1
Seco,El salitre,LLF2,1400,1
Seco,El salitre,LLF2,700,1
Seco,El salitre,LLF2,100,1
Seco,El salitre,LLF2,0,0
Seco,agua fria,AFF1,100,1
Seco,agua fria,AFF1,100,1
Seco,agua fria,AFF1,200,1
Seco,agua fria,AFF1,0,0
Seco,agua fria,AFF1,400,1
Seco,agua fria,AFF1,0,0
Seco,agua fria,AFF1,100,1
Seco,agua fria,AFF1,300,1
Seco,agua fria,AFF1,0,0
Seco,agua fria,AFF1,0,0
Seco,agua fria,AFF2,100,1
Seco,agua fria,AFF2,0,0
Seco,agua fria,AFF2,400,1
Seco,agua fria,AFF2,0,0
Seco,agua fria,AFF2,100,1
Seco,santa barbara,SBF1,100,1
Seco,santa barbara,SBF1,200,1
Seco,santa barbara,SBF1,100,1
Seco,santa barbara,SBF1,200,1
Seco,santa barbara,SBF1,200,1
Seco,santa barbara,SBF1,200,1
Seco,santa barbara,SBF1,0,0
