esT,No,Edad,gen,Atractivo,Rango_atrac,Alto,ombligo,Phi,Dif
RACR,1,32,FEMENINO,10,Alto,168,97,1.731958763,0.113924763
RACR,3,34,FEMENINO,10,Alto,169,98,1.724489796,0.106455796
RACR,4,62,MASCULINO,10,Alto,191,112,1.705357143,0.087323143
RACR,5,66,MASCULINO,9,Alto,165,89,1.853932584,0.235898584
RACR,6,20,FEMENINO,6,Medio,158,70,2.257142857,0.639108857
RACR,7,25,FEMENINO,4,Bajo,160,74,2.162162162,0.544128162
RACR,8,50,MASCULINO,3,Bajo,164,76,2.157894737,0.539860737
RACR,9,30,MASCULINO,2,Bajo,162,72,2.25,0.631966
RACR,10,22,MASCULINO,8,Medio,180,72,2.5,0.881966
JLEG,11,17,FEMENINO,10,Alto,161,94,1.712765957,0.094731957
JLEG,13,62,FEMENINO,9,Alto,164,88,1.863636364,0.245602364
JLEG,15,17,FEMENINO,10,Alto,153,84,1.821428571,0.203394571
JLEG,16,19,FEMENINO,7,Medio,171,114,1.5,0.118034
JLEG,20,20,FEMENINO,6,Medio,168,99,1.696969697,0.039086632
RPE,21,17,MASCULINO,6,Medio,178,92,1.934782609,0.004826453
RPE,22,18,FEMENINO,7,Medio,153,83,1.843373494,0.009338348
RPE,23,18,FEMENINO,10,Alto,156,86,1.813953488,0.021703725
RPE,24,21,FEMENINO,8,Medio,149,81,1.839506173,0.045117333
RPE,25,22,MASCULINO,7,Medio,189,111,1.702702703,0.026729652
RPE,26,16,FEMENINO,8,Medio,163,90,1.811111111,0.046605429
RPE,27,17,FEMENINO,9,Alto,165,93,1.774193548,0.007414531
RPE,28,17,MASCULINO,9,Alto,174,97,1.793814433,0.043959926
RPE,29,19,MASCULINO,7,Medio,183,105,1.742857143,0.002649385
RPE,30,18,MASCULINO,8,Medio,179,102,1.754901961,0.010891143
LDAB,51,68,MASCULINO,6,Medio,175,96,1.822916667,0.204882667
LDAB,52,27,MASCULINO,8,Medio,155,89,1.741573034,0.123539034
LDAB,54,34,MASCULINO,5,Bajo,165,100,1.65,0.031966
LDAB,55,27,MASCULINO,10,Alto,167,98,1.704081633,0.086047633
LDAB,56,26,FEMENINO,10,Alto,189,114,1.657894737,0.039860737
LDAB,59,29,FEMENINO,7,Medio,169,108,1.564814815,0.053219185
LDAB,60,37,FEMENINO,4,Bajo,177,100,1.77,0.151966
NIDM,64,18,FEMENINO,10,Alto,153,84,1.821428571,0.203394571
NIDM,65,21,FEMENINO,8,Medio,168,93,1.806451613,0.188417613
NIDM,67,65,FEMENINO,9,Alto,155,85,1.823529412,0.205495412
NIDM,68,44,FEMENINO,5,Bajo,151,91,1.659340659,0.041306659
NIDM,69,18,FEMENINO,10,Alto,170,113,1.504424779,0.113609221
NIDM,70,19,FEMENINO,10,Alto,160,98,1.632653061,0.014619061
NIDM,71,18,MASCULINO,3,Bajo,208,109,1.908256881,0.290222881
LDAB,72,68,FEMENINO,6,Medio,160,96,1.666666667,0.048632667
LDAB,73,27,FEMENINO,8,Medio,155,89,1.741573034,0.123539034
LDAB,74,55,FEMENINO,7,Medio,145,88,1.647727273,0.029693273
LDAB,75,34,FEMENINO,5,Bajo,165,100,1.65,0.031966
LDAB,76,27,FEMENINO,10,Alto,167,98,1.704081633,0.086047633
LDAB,77,26,MASCULINO,10,Alto,189,114,1.657894737,0.039860737
LDAB,78,34,MASCULINO,6,Medio,175,107,1.635514019,0.017480019
LDAB,79,24,MASCULINO,8,Medio,170,103,1.650485437,0.032451437
LDAB,80,29,MASCULINO,7,Medio,169,108,1.564814815,0.053219185
LDAB,81,37,MASCULINO,4,Bajo,177,100,1.77,0.151966
ENGB,82,15,FEMENINO,8,Medio,159,94,1.691489362,0.073455362
ENGB,83,20,FEMENINO,10,Alto,163,96,1.697916667,0.079882667
ENGB,84,19,MASCULINO,10,Alto,169,101,1.673267327,0.055233327
ENGB,85,14,FEMENINO,5,Bajo,155,92,1.684782609,0.066748609
ENGB,86,32,MASCULINO,4,Bajo,168,99,1.696969697,0.078935697
ENGB,87,27,MASCULINO,7,Medio,175,105,1.666666667,0.048632667
ENGB,88,23,MASCULINO,10,Alto,172,101,1.702970297,0.084936297
ENGB,89,40,FEMENINO,10,Alto,181,110,1.645454545,0.027420545
ENGB,90,24,FEMENINO,9,Alto,157,93,1.688172043,0.070138043
LBA,102,51,FEMENINO,6,Medio,150,95,1.578947368,0.039086632
LBA,103,58,MASCULINO,6,Medio,171,106,1.613207547,0.004826453
LBA,104,38,MASCULINO,10,Alto,185,115,1.608695652,0.009338348
LBA,105,34,FEMENINO,8,Medio,165,100,1.65,0.031966
LBA,106,32,MASCULINO,7,Medio,174,109,1.596330275,0.021703725
LBA,107,18,FEMENINO,10,Alto,168,103,1.631067961,0.013033961
LBA,108,21,FEMENINO,8,Medio,165,100,1.65,0.031966
LBA,109,25,FEMENINO,9,Alto,151,96,1.572916667,0.045117333
LBA,110,21,MASCULINO,8,Medio,183,115,1.591304348,0.026729652
LBA,111,23,MASCULINO,9,Alto,178,110,1.618181818,0.000147818
DJAE,112,14,FEMENINO,10,Alto,165,105,1.571428571,0.046605429
